follower,following
irenerobinson77,samueldavis06
ashleybaker49,bettydiaz27
antoniohenderson79,philipwhite84
dorothybutler29,annacooper85
randymorgan95,kathleenhoward36
bobbywilliams26,brandonhill05
andreabrown48,peterlee68
aaronroberts32,jacklee44
jeanbryant63,kennethcook27
chrismorgan35,jackreed10
ralphcarter36,scottjohnson57
kimberlygarcia32,gregorysimmons01
chrislee94,dianacox36
terryprice88,rosecampbell87
roydiaz85,williamwalker99
jenniferramirez72,rachellee89
jamescox79,samuelramirez81
martinmiller16,kathleentorres04
jackhall60,harryrivera02
frankanderson08,janetcarter84
patrickrogers37,kennethmitchell39
rebeccathomas69,aaronwatson77
josecoleman17,douglasrobinson17
kimberlycampbell81,justinbryant48
cherylbutler16,ruthbrown13
seanlewis61,marielopez18
phillipwalker26,carloshoward98
laurawatson29,gregoryhill63
georgemoore67,heatherrobinson05
annewilson56,debrascott87
normapowell92,philipbrooks50
larrywatson62,juanreed86
juanmartinez76,dianacox36
johnnygriffin14,andrewyoung46
douglashayes63,kennethkelly97
gloriaadams68,emilytaylor33
paulawood89,annahoward87
kellyward61,dianehall98
susangreen35,anniecarter32
aaronrussell69,martinhoward68
tinaphillips98,jerryallen69
cynthiaallen71,stevenbennett84
lauraking94,deborahbaker16
philliphughes48,denniscooper13
phyllisedwards31,karengonzalez87
williediaz02,jacquelinehernandez90
willietaylor91,philipbrown98
earlsanchez54,nancyprice77
joanking91,antoniocollins94
shirleyscott48,jimmyhayes17
julieramirez84,janetgonzalez18
garylong92,stevenstewart59
philipbailey77,ashleypatterson17
patriciamartin11,joansanchez55
jackcampbell55,craigjackson52
shawnpowell81,louiseprice63
martharogers14,debrahoward48
alicehall81,nicholasbrooks94
francesross74,jeremywashington76
jeanmartin91,normalong40
rebeccaalexander83,peterrogers19
alicerichardson47,gloriahall56
earlhernandez05,joselewis33
johnwilliams45,mariebennett40
bobbywilliams26,michaeledwards67
davidharris56,barbaraking01
waynedavis35,lorilopez50
jeffreybailey41,catherinepatterson99
phillipmorris28,raymondsanchez75
marilynparker59,marilynstewart50
kevincoleman04,emilymiller23
victorjones22,kathrynbaker77
andrewthomas83,jerrysanders24
dianaallen39,williesimmons07
stephenmitchell46,alanbrooks46
lorimiller32,lawrencestewart84
briansimmons82,earlwatson98
benjaminclark82,dennisbaker70
albertward49,kennethedwards52
jasonthomas14,williebell56
albertbutler46,albertalexander44
louiseedwards46,shirleystewart47
rubyhall09,judithbell42
mariaroberts29,peterroberts69
donnapowell34,amyedwards11
amandaperez63,keithpatterson40
carolynwatson66,justinthomas78
nicolerichardson07,nicoleclark52
benjamincarter79,billycooper08
loricox51,charlesdavis72
johnnyfoster31,dianerobinson45
heatherpatterson91,robinbarnes72
louisedwards28,andrewcook90
wandarivera01,steveross65
patrickdavis32,theresapatterson73
elizabethhernandez90,fredjones20
ralphbutler22,donnajenkins33
victorjohnson87,kimberlymiller86
judithjenkins56,juliagray79
kathyperez27,theresayoung13
georgetaylor65,phillipbrown48
seanmartinez85,dianatorres51
ronaldcook81,craighayes82
marilynpatterson28,christinealexander17
benjaminanderson86,josephlewis74
tammymartinez79,thomasbutler84
louiseedwards46,susanhernandez07
larrylewis50,lawrencerussell49
loishenderson77,ryanclark95
nicoleprice36,paulanelson77
michelleperez98,jacquelinepowell54
brucemitchell47,martinrogers32
debrawilson06,anthonyking80
lauraross59,pamelathomas40
joshuabarnes58,justinpatterson35
victoranderson03,kellywashington51
douglashughes22,matthewgonzalez92
rebeccaphillips45,amyperry28
lindalewis27,royhall25
wandaharris62,amyhall32
clarenceparker56,victorwright56
victormurphy00,jerryphillips85
mildredallen53,craigbarnes55
marialee05,brianrogers46
jasondavis09,rogerbryant97
douglasmorris50,adamhayes41
josephsanchez25,georgecampbell43
debrahoward48,donaldramirez35
haroldgriffin92,shirleyrobinson83
jessicacox42,anniestewart79
antoniomartinez05,brucesanders41
melissahoward42,eugenejohnson84
franceshayes10,rogerrogers50
dorothyrussell59,jesseharris41
cynthiacox02,denisecook04
royharris60,lindadavis85
juliamorris49,ericwhite15
alicebryant80,ruthramirez90
billygonzalez59,craighoward58
debradavis58,josephhall99
sharonjackson36,joanperry27
stephensanders38,christineprice15
georgehernandez46,bonnieramirez01
henrycampbell34,ericrichardson66
benjaminjames08,teresaedwards91
harrybutler25,stephanierichardson47
ashleywalker77,susanbarnes76
thomastorres21,deniserogers27
juliamoore91,helenphillips22
shawnmitchell58,carlosmitchell75
jimmymartinez33,barbarajohnson59
davidbutler80,lawrencebutler01
fredjones20,rubydiaz57
josedavis58,wandarivera01
raymondlewis69,sharonhenderson64
ericflores05,rosekelly09
richardgarcia24,beverlyjones88
johnnycook05,benjaminsanchez96
jessicawright57,ruthjames71
lisabrown13,donaldhoward35
edwardtorres42,lilliandiaz86
theresawright44,mildredsanchez09
roymoore12,dianeross89
heatherwatson36,joycejames92
dorisedwards90,francescoleman50
scottbarnes81,stevenrussell27
jonathanperry39,richardcollins69
jeremydavis42,paulbrown75
paulaclark72,amykelly77
wandaflores91,stephanietaylor90
mariegriffin87,eugenecoleman55
bruceharris52,donnaparker62
russellward23,stevejones45
eugenealexander51,tammymartin62
dianelong53,williebaker32
richardbryant38,cherylwalker53
jeffreypatterson31,christinamartinez49
janetjenkins09,mariataylor63
deborahhall91,patriciabrooks94
benjamincoleman13,catherinecollins27
rosesanders92,christinegreen54
stevewright14,annphillips13
marthasanchez31,emilylewis15
julieallen21,ruthmartinez01
bobbymorgan18,scottparker12
catherinemartinez83,kimberlydiaz72
louisgreen43,scottbryant65
timothybell81,rachelcoleman14
rosealexander96,elizabethrodriguez15
harryclark88,kimberlywalker56
roylee79,rubybailey06
shirleyprice70,mildredbell17
samuelperry50,earllewis90
annestewart29,frankcoleman78
antoniohayes76,edwardbarnes38
katherinehughes41,francescox13
frankalexander49,kathleenwhite54
virginiacox85,kevinparker91
edwardsimmons44,stephenlong22
lorigonzales96,christinacoleman27
sharonjones59,haroldnelson03
jerrybailey55,wandareed33
edwardcollins46,jeffreyjenkins35
earlmitchell66,pamelareed51
williewatson87,charlestaylor34
williephillips91,kathleenpowell90
debraclark15,stephenpatterson54
billybryant53,juangarcia16
susanking38,joshuaphillips81
racheljackson85,catherinemitchell59
edwardgarcia97,rebeccagonzales64
jenniferpeterson43,rebeccamitchell75
tinapatterson49,sararichardson18
douglasrichardson38,scottmitchell44
charlesclark49,nicholasdiaz84
ryanharris57,stephenevans74
jasontaylor86,phyllisjames67
helenparker01,ruthjones25
sarathompson31,amylewis29
ryanwhite63,louisesimmons73
emilyking55,williamwilliams58
frankwood40,denniswood70
carlosgonzales02,ronaldanderson49
brandonlee49,doristhomas27
judithbrooks66,virginiapeterson75
josegarcia44,amandajones60
lawrencemorris42,rebeccabailey08
cynthiapowell82,christopherlopez41
sarahlee10,frankdavis07
pauladavis48,dennissimmons64
bruceperez79,fredpeterson97
christinepeterson92,denisegreen24
henryrussell21,laurabryant34
brendabennett61,annehill30
billywatson14,sandrarobinson64
kellykelly79,paulreed15
rogerbrown08,janeprice14
donnalopez28,loisjohnson07
robinlee69,victorbaker96
toddtaylor76,kimberlykelly01
sarawashington65,nicolewilson23
heathercox07,richardbryant38
janetbutler80,michaelnelson79
arthurwood95,carlosbryant50
billyramirez56,howardcox47
janedavis36,carolynmiller36
mariacollins67,terrybaker35
kathleenmiller96,dorishenderson75
jessejones12,arthurwright91
johnnyfoster31,ryancooper45
chrissmith12,victorwalker72
williamdiaz49,lawrencerodriguez80
ruthbrown13,carlalexander86
irenedavis61,billybell65
margarettaylor87,nancyramirez45
mariamartinez99,maryhernandez29
keithjackson20,anniegreen60
christinesanchez69,jimmypeterson07
bettycoleman06,bettylong53
stephanieking27,carlosgarcia47
louisesanders08,waynemartin79
timothyfoster69,jessemartin96
bettyclark31,phyllismitchell98
matthewprice48,royturner90
janemiller59,louisesanders08
tinapeterson87,louisharris00
scottrichardson74,scottparker12
carlparker72,albertpeterson76
debraparker04,rogerbaker68
georgewashington91,nicoleross49
ronaldjenkins78,heatheralexander65
larrykelly16,jenniferedwards70
juliahayes73,garythomas41
rebeccacarter96,shawnhill39
markbell38,kimberlymurphy17
emilywright39,nicolegray36
davidrobinson26,edwardbell38
ruthgray86,kathleenbrooks27
margaretwright19,jimmysimmons93
donaldtaylor18,joanrivera29
alanhoward37,josecoleman17
fredfoster10,cherylanderson64
judithjones14,aaronharris31
patriciahayes06,shawncollins43
dorothyalexander66,robinnelson84
philipsanchez00,danielwalker44
susanramirez10,ericthompson27
briancox59,michaelrogers60
denisejackson86,adamanderson84
janeward26,stevelong22
randyjackson83,helencarter77
christophergriffin85,douglasrivera15
frankstewart37,lisawatson18
toddgriffin09,joecoleman23
lisalopez45,howardperry74
katherinehayes15,toddlewis53
loisthomas44,rubythomas68
wandascott67,geraldramirez56
anthonyedwards81,donnakelly49
chrishenderson58,theresaevans88
saraward37,ralphrobinson86
josephmitchell81,danielbarnes08
theresascott19,larrysimmons42
carlbaker28,barbaraharris94
jameswashington12,henrysanders30
shirleyjones37,anniediaz89
robinroberts86,terryjohnson86
beverlysanchez05,edwardthompson12
judyturner16,petertaylor17
martincarter65,robertwood99
toddhall58,danielnelson83
kathyramirez21,waltermoore44
dennisbailey36,carolyngonzalez24
josenelson77,alicerodriguez19
keithpatterson40,bobbywashington95
jonathanjohnson01,marthajones73
normagonzalez92,lillianturner28
louisjohnson31,debrarivera43
bobbywood45,joemartinez18
aaroncollins26,janeramirez05
pamelalewis48,teresarussell95
andrewhall50,sarasmith12
annjones87,karenturner86
randybrooks08,helenlee00
juliewhite80,waynetorres04
antonioalexander86,lauraramirez24
rachelbryant96,josesmith43
garyclark00,amywood57
angelarichardson19,stephenjenkins71
juliesmith06,jeanscott34
janetaylor70,chriscampbell78
rosehoward15,ralphallen35
andreayoung49,paulwatson92
louisemorgan37,jessehenderson59
jeannelson46,rachelnelson00
irenebaker30,randyedwards69
janiceadams68,cheryljackson49
jamesanderson61,tinacoleman82
joycephillips07,ericwhite15
annahall39,lorigonzales96
juanmartin34,jacquelinelopez34
nicholasstewart50,kevinrogers31
johnanderson25,donaldgarcia63
rachelreed70,stevegray50
jasontaylor86,mildredreed91
joshuaward16,robertwilson99
carloscook36,jimmythompson12
dennisgray55,adammitchell57
marklong99,loriperry66
benjaminrodriguez47,johnscott65
marilynbarnes36,shawnalexander98
christopherpeterson64,rachelallen28
barbaraadams58,jessicalee62
cherylrichardson93,jeangonzales41
susanross14,francesthomas71
ashleywalker77,christinerivera83
shawnharris25,frankcox93
melissawilliams19,wandaturner44
ericgonzales72,jasoncarter10
matthewthomas60,dianeperez46
waynegreen61,juliamartinez70
dorothycox57,randybennett62
paulaadams47,jackreed10
johnnymartinez02,dianepeterson77
catherinebutler36,marklopez25
patrickpeterson70,kevinwashington34
eugenewilliams50,judithtorres86
janelewis51,terrycampbell19
amyanderson94,louisroberts91
judymitchell96,jasonwood51
joycehernandez32,kevinmartin60
andrewramirez95,pamelagonzales79
sharonprice42,joshuatorres52
elizabethjohnson85,rosebrooks86
royalexander17,erichall40
josephking06,anniecooper60
ericgonzalez79,judysanders06
stephenstewart78,jimmywood08
debrarussell28,christinecox64
evelynbarnes88,williewilliams05
jonathanprice01,emilymiller23
johnnyramirez12,williamperry71
jeangarcia43,bettythompson58
louiseflores67,tinarichardson58
jacquelinewright75,seanmiller81
brianyoung56,albertmartinez70
alicejackson57,philiplong02
pamelaking18,gloriaroberts57
ronaldedwards11,jenniferharris66
stevenclark27,clarencehayes85
rebeccaanderson58,donaldhenderson89
douglasgray41,bettyhill01
sarahhughes40,lindabaker80
bettyjones58,martinwashington14
evelynross25,wandalee64
clarencetaylor04,lawrencepowell24
danielhall73,harrycoleman51
lilliancoleman95,amandaking44
brendajames00,janehenderson82
willieadams84,joesanders65
haroldreed13,kathleenrussell52
marilynking14,wandajenkins87
shirleywashington12,loricox51
dorothygonzales76,ralphbennett28
johnnydiaz32,georgeross42
louisebarnes89,jeremyyoung28
larryrussell16,markgarcia30
cherylrichardson93,juanstewart64
carlossmith83,mariebarnes96
billyperez88,randyward47
charlesgriffin46,stephanieparker93
shawnbennett91,josejones85
markhoward67,jessewhite37
louiseprice63,theresayoung13
carolroberts42,terrygonzales75
danielkelly58,donaldwood82
lawrencebarnes29,jacquelineadams72
annagray54,beverlythompson87
kathleenturner03,juliescott42
geraldsmith75,judithrobinson46
kathycook79,joecook62
jacquelineross55,ronaldthompson46
cynthiaroberts22,billymartinez83
phyllisyoung05,evelynroberts69
garyroberts93,donnasanders14
phyllisbaker45,georgecooper06
lorigonzales96,thomascampbell25
terryperez00,marysanchez91
billythompson65,jasongreen99
davidhill38,christineparker88
jackmorgan62,garyhayes67
sharonreed70,chrislopez96
johnnykelly37,rachelcook43
kevinhughes22,jonathanross39
josephbryant25,kathybennett70
michaelsanchez20,johnwilliams45
joanmorris54,rebeccaprice56
markjones54,joyceflores74
jackhernandez16,terrymitchell90
jasonsimmons15,beverlypeterson93
philliplee21,brendabell37
jamesgonzales19,deborahroberts32
debrawalker13,kathleenlopez35
jessicawatson69,craigmorris32
melissaanderson47,janicejenkins14
wandayoung01,gloriamurphy62
heatherwright99,alanlewis97
jamesjames59,marilynbryant73
heatherrussell48,doriswilliams84
robertgreen32,jeffreyprice27
andreaharris68,victorturner94
gloriapowell66,ernestjackson48
jonathandavis14,irenekelly60
janetlee20,shawnadams78
nancytaylor91,barbarahill98
richardbennett81,kellygriffin21
haroldhill40,teresaevans55
pamelaevans66,joshuabell62
anthonyking80,dianehernandez42
kathleenlee68,jerryphillips85
howardcarter97,nicolerobinson06
douglasbrown38,rachelperez82
emilyedwards45,ronaldthomas49
michellehenderson79,jenniferhall18
carlgonzales85,waynecampbell12
brianperry48,shawnscott13
frankdavis07,jeffreywood10
rogerbryant97,douglasgarcia22
johnnyroberts70,carollopez50
ronaldsmith17,johncollins45
jonathanstewart82,theresabarnes99
kevinallen08,janetmoore08
kathrynhill79,chrispeterson31
juliahill06,carlospowell53
carloshernandez29,carlsmith33
kimberlywhite32,karenyoung38
alanreed65,seanpowell92
kathysanchez53,annflores65
dianagray70,anthonyallen14
timothystewart05,christophermurphy29
rachelmartinez57,katherinesimmons77
jackgray22,josepeterson35
ericlong88,michellecampbell94
paulathompson52,alantorres41
virginialopez15,heatherperez28
robinwright35,evelynrichardson42
deborahhill16,lillianlewis02
teresacampbell41,jeremymorris62
lawrencejohnson54,andreawalker97
joycetorres85,nancyrussell97
louisecox26,nicolediaz84
fredhenderson18,donaldgray45
rogermartinez99,haroldgray87
heathercoleman93,evelynpowell03
thomaswalker42,donaldevans26
helenking13,tinayoung92
jesselopez34,jerryjones07
annewatson21,marthadiaz48
billybailey11,stevehughes29
douglasmurphy32,geraldcox54
katherinehoward18,rebeccamartinez20
judygreen77,debrapeterson77
lawrencemartinez49,stevenrivera11
mariahall15,christinereed27
nicholashughes09,raymondrobinson19
earlcox74,aarongray51
teresakelly14,catherinecollins27
joanmorris54,stevenclark27
bettysanchez40,irenediaz04
adamroberts59,carlgonzalez18
kevinrobinson43,adamadams04
davidmartinez27,beverlyrogers18
scottperry04,matthewgonzalez92
kathryngonzales41,albertlee08
fredwatson35,tammygray49
jamesgray33,peterwatson10
stephenevans74,jessicarodriguez53
robinrichardson83,andreataylor58
philipparker45,sharonbaker33
mariemitchell80,normahoward44
bettycampbell15,shirleygonzalez11
stevenlee41,janecoleman15
juanprice31,beverlysmith84
alicerussell30,craigtaylor70
waynewhite26,jacquelinehenderson20
terrybryant90,annasanders64
melissawalker57,bobbywilson67
nancylopez55,henrybrown29
pamelamartinez92,jeremylee34
amandamartinez37,timothyjones46
rubyadams23,jeremyrivera70
debragonzales00,normajackson72
rubywalker32,evelynedwards55
paulalee97,waynejenkins08
barbarabell34,theresadiaz20
catherinemartinez83,shawnsanders71
michaelrogers60,donnacollins50
kathleennelson53,kathrynpatterson55
paulking32,jeremyalexander73
evelynnelson96,bruceramirez78
andreathompson30,jessicarivera51
billycarter22,waltergarcia10
justinbrown65,marymartinez97
jacquelinemurphy15,dennismurphy47
garygray71,patrickcarter90
briancox59,christinewright24
juliajames92,janicenelson75
barbaraanderson05,sharonbutler88
marywatson81,stevenmartin34
gregorywilliams94,sharonsmith52
kennethmoore83,petermorris66
robinsmith47,shirleycollins67
jacquelinecollins95,donnawashington63
benjaminsanders46,gloriaturner74
petercox24,kennethhall41
antonioalexander86,andrearodriguez26
marilyndavis74,fredgray67
pamelaturner94,waynealexander99
helenevans04,annierivera76
mariataylor63,geraldbarnes10
tinagonzalez29,andrewbailey93
nancydavis23,brandonmiller66
kathleencoleman34,kathryntaylor76
josephsanchez25,jeanbennett07
dorisharris82,dianecampbell31
rubyhill17,toddjones78
waynecook74,anthonylewis35
rogerrivera64,virginiajames76
racheljenkins61,judithhoward23
pamelawashington91,juangonzalez08
judysimmons91,matthewjenkins71
debrarussell28,francesanderson93
louishoward67,russelljenkins72
lindacooper26,jessewilson48
alanbrown94,gregorymorgan39
shirleycox57,rosejackson25
edwardhoward01,kathyanderson37
robinprice12,evelynbryant50
terrybarnes42,cherylmartinez05
helenwilliams41,alangriffin53
heathercooper25,dianabailey83
irenebutler52,normasanchez25
henrymitchell30,amandagriffin73
gloriapeterson84,evelynbrown37
karenclark26,douglasjackson95
clarencethompson16,elizabethphillips35
andreaphillips49,carolrichardson05
tinaturner44,ericgonzales72
marykelly96,mildredsmith52
judydavis63,stephaniegriffin30
charlessanders09,amandabarnes10
helenbaker68,teresamurphy36
janetbrown96,craigsanders17
georgeyoung72,tammyrobinson75
mariabennett40,teresafoster69
billymorgan08,richardhernandez94
steveross65,victormorgan94
ashleyperry16,heathersanders29
martinthomas62,patriciacoleman75
bonnieevans22,ralphhall17
loriscott66,eugenetorres10
virginiaalexander76,gloriabailey97
lawrencebennett93,margaretmartin75
benjaminking89,carolmorris38
rachelsmith35,annaedwards31
howardmurphy39,sarahharris22
edwardgray45,paultaylor51
jeremyhill28,dianejones30
joshuakelly32,nicholaswashington17
margaretcoleman89,shawnallen47
susananderson45,patrickgarcia93
heatherperez28,andreaadams98
irenegarcia49,ralphhoward96
melissaturner24,rubysmith67
jeffreyfoster17,samuelflores52
adamlee57,kathyyoung65
susanperry03,walterhughes10
mariescott72,clarencewatson48
jessicacox42,catherinewashington00
ashleygarcia44,geraldkelly04
dorisbarnes98,carlosmurphy80
barbarasanchez56,barbaraflores24
bonniemitchell53,craighernandez40
adamflores76,ronaldperry29
karenmorgan78,sandrawood17
maryhill99,craigbutler34
paulhall43,johnperry19
brandonrivera07,julieharris14
joewalker17,jacquelineperry30
tinalong58,brendaturner49
marilynhughes95,earlpeterson98
williamroberts84,paulmorris66
randycoleman79,michelleking06
rogercook21,seanbell98
earlbrooks80,kimberlylong66
angelahughes42,jessicahughes33
ernestcoleman30,joanevans50
anniebrown01,dianacampbell32
catherinediaz49,pamelamartinez92
barbaraevans20,margaretcooper33
lindamartinez56,howardmartinez23
kathrynallen86,loisthomas44
dianakelly31,kathygray93
stephenscott75,marycarter49
cynthiagarcia92,clarencemartinez24
amandawood09,williegonzales53
lindawright84,donnaallen03
joshuascott55,sarahgonzalez92
douglasgreen62,matthewcoleman85
jessicarodriguez53,deborahhill16
stevenhill46,scottrivera87
gloriacarter71,loridavis32
michaelmartin91,juliejackson10
craigtaylor70,virginiaward50
paulyoung38,charlesallen41
janerobinson71,carlpatterson80
terrygriffin78,juliesimmons53
mildredbrown64,kathywood99
angelagonzales28,victorrussell72
juanedwards83,richardprice28
stephenroberts49,carlyoung14
martinscott16,phillipramirez31
francesclark18,barbaranelson82
billysimmons89,lillianyoung95
russellrichardson06,patrickmiller10
justinprice44,cynthiajones90
julielewis44,carlhenderson96
dianabutler59,williampeterson30
dorothyhughes57,andrearodriguez26
raymondturner58,dorisbaker02
dennisalexander97,ericbarnes91
shawnlewis66,ryanperez48
gloriaallen58,kennethlee50
jamesthompson66,waltersmith35
cherylreed01,janiceadams68
pamelawalker41,elizabethharris76
denisebarnes83,stevensanchez53
robinlong51,shawnalexander98
waynebennett69,tammyyoung29
bettykelly87,sandrarussell84
beverlyhenderson31,nicolejohnson22
dianeflores25,melissarivera39
jessicaperry21,judywilliams67
georgeclark05,ronaldevans64
sharongray36,juliefoster96
mariemorris11,barbarabrown45
eugenebrown81,rogerdiaz45
jonathancoleman63,ericparker33
juliejackson10,alanperez87
edwardramirez92,susanbrown73
randythomas99,rogerstewart42
marthayoung90,laurasimmons94
walterthompson46,nicolebell07
bobbyallen15,carlosrobinson10
markthompson44,jennifersimmons63
joanhill84,loritorres67
stephengriffin44,craigallen06
carolynwright73,karentorres75
ashleyclark86,samuelpowell81
ronaldgarcia96,jessicaallen12
bobbycollins56,margaretturner58
earlking93,carlosgonzales02
ryancoleman32,jessicamartinez34
debrabutler13,christinekelly23
andrewwilson01,lilliancollins26
cynthiagriffin85,francesgriffin43
wandadavis47,adamward30
samuelmorris48,joshuarussell55
lindajones96,jackhall60
waynetaylor27,amynelson62
nicholasflores88,chrisharris87
kathycoleman37,victortorres18
brandonperry76,nicholassmith52
sarahhill00,fredjohnson24
kevingarcia69,rachelperez82
haroldgreen33,janetbrooks29
irenemoore46,annacoleman82
richardallen85,arthurphillips87
scottgarcia07,carlperry90
charlesmiller46,andrewtorres15
emilystewart04,roybrooks61
brendabrown90,joegarcia95
jimmycooper82,dennisevans29
waltersanchez09,lindaclark23
clarencemoore15,brucesimmons37
gloriacarter71,waynebrown15
danielalexander50,henryross35
evelynbrown37,benjaminalexander70
toddperry80,jenniferhernandez85
waynegriffin49,nicolelewis30
jeffreybailey41,williamevans77
arthurrodriguez44,arthurbailey25
susanbailey49,jeanbryant63
dorothyhernandez35,cynthiajackson82
mariacampbell40,racheljones77
wayneross29,donnajames24
ericmartinez14,shawnmartin54
kathleenhernandez75,lauraharris11
jimmyrodriguez20,kennethgreen92
roygray30,ryanturner30
charlesthomas89,amymartinez86
donaldcox66,billystewart59
lawrencewhite98,charlesbell87
deborahphillips35,shawnbrooks97
jacquelinesmith05,kathypatterson42
roymartinez28,jacquelinebailey03
christinemartinez19,lindahill36
robinadams47,adamsmith35
dennisgreen88,ernestnelson58
pamelamiller18,dorothymurphy29
rubyjackson90,christinafoster27
ruthwilliams76,stephaniehughes27
nicholasbrown14,amyadams18
christopherreed79,christinebell03
nicolegray36,mildredparker94
annewilliams40,judymiller24
andreastewart84,rachelevans07
theresaevans88,dianecampbell31
louisrodriguez58,stephaniejones36
richardmorgan19,haroldfoster93
randybrooks08,dianahayes53
virginiapeterson75,helenhill42
anthonyhenderson64,benjamintaylor70
philipmorgan53,kimberlybennett69
susanhenderson14,janetpowell55
bonniehernandez94,janicegreen96
frankyoung71,kevinrivera34
lawrencebennett93,phylliswilson98
matthewpatterson92,stevencollins12
edwardturner86,shawnkelly10
carolynbryant39,rubyroberts35
jerrysimmons97,carlcox91
jasonsmith35,dennishenderson31
roythomas26,jessicatorres45
cherylphillips63,johnnyturner63
garyjackson97,pauldavis69
bobbyjenkins51,karenrobinson14
michellebarnes14,patricklopez14
fredtaylor25,lawrencesanders53
carlosgonzales02,pamelaclark11
shawnallen47,johnprice89
jenniferbaker69,bobbycarter54
eugenelewis88,terrybell24
russellharris44,laurahayes53
marilynjohnson35,helenhill42
barbarajenkins13,virginialong36
normaanderson58,jeanmiller92
karentorres75,annnelson15
fredmitchell16,annacox66
justinlewis72,anniekelly37
michaelhall74,benjaminrussell23
dianehenderson36,brucewalker69
rubymartin17,carolhall02
michellehill10,helengonzalez26
bettycook04,ashleywalker77
annebutler96,judithrodriguez43
christinarodriguez43,jamesbryant09
theresahayes68,nicolestewart47
teresasanchez31,anthonydavis05
earlcooper00,loribarnes57
karencollins61,alansanders08
justinperry10,johnbryant79
raymondcooper71,marilynlong58
terryfoster68,marilyncollins50
lilliansanders47,ernesttorres02
johnnyadams19,bobbyhoward67
michaelross78,larrybryant19
ernestrobinson66,davidhall21
williammoore07,jeremyking14
carolmorgan42,brucewashington40
beverlyward22,anthonybaker91
jasonbutler76,timothybrown25
paulanderson09,jamesjones38
lisabell23,tammycook49
wandabaker45,michaelmoore30
richardhernandez94,williamward66
katherinemiller99,marialee05
richardadams48,charleshayes88
billydavis87,jacquelinewood58
lilliangray40,kathyparker87
alicehayes97,rosegonzalez50
haroldperez93,earlhill78
arthurfoster25,tammymiller77
kathleenclark11,cherylclark83
annemorris80,waltercollins77
lindahoward24,jackhayes19
kathleenbarnes37,cynthiaedwards00
gloriahernandez70,royhayes20
mildredcollins70,toddjackson60
aaronrichardson72,teresawalker52
phyllisbrooks58,matthewrobinson11
chrisstewart73,angelawashington58
bonniewilliams04,rogerpatterson23
brianrobinson35,rogertaylor78
marthawashington02,antoniomorris96
harryross73,nicolehayes73
marycook24,richardgreen68
philipalexander12,fredpeterson97
henrygreen51,andrewdiaz17
jimmybennett49,seanphillips20
victorramirez61,joanflores34
ralphsmith93,robertroberts34
henryalexander19,emilyjohnson61
annahughes76,pamelapeterson84
jeffreymartinez63,dianaphillips17
donnagray99,samuelwhite99
antonioharris48,rogerward22
jimmykelly29,rachelhenderson98
brucecampbell34,jeremycarter68
melissahernandez30,alangarcia43
stevemurphy84,wandahoward38
amandarobinson29,brianjames13
kellywood79,amandamitchell50
karenrodriguez90,beverlyevans59
amandacook77,philipwood01
franceswatson83,josephsanchez25
wandagarcia95,williambailey78
bobbyanderson62,davidwashington06
lawrencefoster32,brucekelly49
joebailey36,kevinrichardson74
jenniferlewis24,kathyrobinson65
catherinereed47,mildredlewis82
richardbennett81,geraldbrooks13
timothyturner04,henryscott16
francessanchez33,beverlycoleman84
charlesflores53,tinahoward30
peterhoward47,christinescott40
carloswright36,dorothyclark18
emilybennett43,jessicabennett06
christinedavis05,markflores62
kathrynflores33,joycelopez92
katherinerogers41,brianthomas82
willieross35,douglasbutler02
paulasanders93,craigallen06
tammyperez94,donaldperez07
alanlewis97,raymondphillips41
peterpowell62,arthurkelly24
billyperez88,haroldrobinson57
alanwood65,kellyjames68
janetmartin33,waynethompson61
edwarddiaz68,frankscott52
christinecooper67,andreawashington52
ashleyturner27,stephenwhite19
markbaker10,nicolehenderson60
russellthompson47,ashleyfoster70
garywood06,patrickhayes54
normathomas29,toddhernandez36
michaellewis67,chrisbell26
adamtaylor59,margaretparker46
johnwright31,cherylmitchell72
ruthsmith51,francesrichardson85
marilynbrown46,philipdavis47
sandrawhite00,janicewright13
annekelly36,harryevans55
willieperry23,barbaraperez09
jennifergriffin50,ryancook81
dorisrichardson64,janicemurphy25
brendabailey12,jeremyallen53
jonathanlong43,raymondcooper71
louisbailey50,catherinejames01
jonathancox85,julierobinson18
georgelong63,garyhayes67
ernestdavis02,janicethomas77
marksanchez41,paulagonzales63
georgegonzales15,roseramirez11
eugenejenkins15,jenniferwatson00
eugenebailey32,mariabailey79
judymiller24,wandabarnes36
frankhughes88,annegarcia38
bettycooper59,beverlylee49
lawrenceprice43,annagriffin12
markross74,timothymorgan11
roygreen25,johnflores99
patriciacooper70,robertstewart73
christinehughes70,christopherharris17
teresamartinez29,walterkelly68
richardjohnson72,denniscollins70
paulanderson09,eugeneprice22
timothypatterson56,jeremyperry70
georgelewis17,deborahbailey53
lisaturner34,jameshill35
susancollins32,lindasmith00
williamflores73,aaronmurphy44
philipedwards77,willieharris85
dennismartinez50,marienelson48
deborahrogers72,carlosprice87
nicholashoward37,victorwilliams01
michellewilliams51,evelynramirez61
dianebailey75,douglasflores29
kellyhughes28,teresacoleman43
joanbailey92,craigjones34
raymondmorris08,johnbailey47
mildredwatson91,elizabethrodriguez15
virginiabrown08,maryhill99
andrewhenderson23,arthurbennett56
ryanwood02,marilyngreen92
anneharris70,amylee29
donnawilson95,richardharris75
janebaker20,judithjames09
